id_str,created_at,date,hour,minute,week_day,plain_text,full_text,polarity,label_polarity,subjectivity,label_subjectivity
1266080518786945024,Thu May 28 18:54:52 +0000 2020,2020-05-28,18,54,Thursday,realice la apelación por el subsidio de emergencia a ya voy para un mes esperando respuesta cuando se supone eran 10 días habiles. el mismo día me comunique con quiénes ya me dieron respuesta y me indican que si cumplo con todos los requisitos.,Realice la apelación por el subsidio de emergencia a @CafamOficial ya voy para un mes esperando respuesta cuando se supone eran 10 días habiles. El mismo día me comunique con @Supersubsidio quiénes ya me dieron respuesta y me indican que si cumplo con todos los requisitos.,0.0,Neutral,0.125,Objective
1266092163852578818,Thu May 28 19:41:09 +0000 2020,2020-05-28,19,41,Thursday,"buenas tardes, gracias por la información, nos estaremos contactando telefónicamente con el peticionario que nos menciona para brindarle la información que requiere ¡supersalud!","@MariMaria110 @hujuliomendezb @infopresidencia @LaLibertadCo @NoticiasCaracol @CaracolRadio @WRadioColombia @IvanDuque @NoticiasUno @CafamOficial @MinSaludCol Buenas tardes, gracias por la información, nos estaremos contactando telefónicamente con el peticionario que nos menciona para brindarle la información que requiere ¡Supersalud!",0.44999999999999996,Positive,0.4,Objective
1266128075361849344,Thu May 28 22:03:51 +0000 2020,2020-05-28,22,03,Thursday,gracias bien fila no hay en ni porque putas lo autorizan? pero si hay hasta que les rogue en la oficina principal de por él,Gracias bien 💩💩#3horas fila @EPS_Famisanar no hay #Tiosynt en @CafamOficial ni @Colsubsidio_Ofi porque putas lo autorizan? pero si hay #TEROMAR hasta que les rogue en la oficina principal de @autorizaciones por él👁 @Supersalud @MinSaludCol @infopresidencia,0.18333333333333335,Positive,0.26666666666666666,Objective
1266128262046134272,Thu May 28 22:04:35 +0000 2020,2020-05-28,22,04,Thursday,gracias bien fila no hay en ni porque putas lo autorizan? pero si hay hasta que les rogue en la oficina principal de por él https://t.co/zzv9k7bvfb,Gracias bien 💩💩#3horas fila @EPS_Famisanar no hay #Tiosynt en @CafamOficial ni @Colsubsidio_Ofi porque putas lo autorizan? pero si hay #TEROMAR hasta que les rogue en la oficina principal de @autorizaciones por él👁 @Supersalud @MinSaludCol @infopresidencia https://t.co/zZv9K7BVfB,0.18333333333333335,Positive,0.26666666666666666,Objective
1266129530785234945,Thu May 28 22:09:38 +0000 2020,2020-05-28,22,09,Thursday,gracias bien fila no hay en ni porque putas lo autorizan? pero si hay hasta que les rogue en la oficina principal de por él https://t.co/zzv9k7bvfb,@infopresidencia @Supersalud Gracias bien 💩💩#3horas fila @EPS_Famisanar no hay #Tiosynt en @CafamOficial ni @Colsubsidio_Ofi porque putas lo autorizan? pero si hay #TEROMAR hasta que les rogue en la oficina principal de @autorizaciones por él👁 @Supersalud @MinSaludCol https://t.co/zZv9K7BVfB,0.18333333333333335,Positive,0.26666666666666666,Objective
1266159683582283782,Fri May 29 00:09:27 +0000 2020,2020-05-29,00,09,Friday,dm . muchas gracias.,@CafamOficial dm . Muchas gracias.,0.2,Positive,0.2,Objective
1266215167731343360,Fri May 29 03:49:55 +0000 2020,2020-05-29,03,49,Friday,como en la última caja de compensación no tuve ayuda solicité en la anterior por sugerencia de y esto me respondió https://t.co/xtv5qaih5x,Como en la última caja de compensación no tuve ayuda solicité en la anterior @CafamOficial   por sugerencia de @MinSaludCol y esto me respondió https://t.co/xTv5qaIh5X,-0.08333333333333333,Neutral,0.11666666666666667,Objective
1266226954107187200,Fri May 29 04:36:45 +0000 2020,2020-05-29,04,36,Friday,"a usted también le dijeron que no era beneficiario del tal subsidio? a mi me salieron con que yo no estuve afiliado... estoy desde el 2014 con ellos y me negaron la ayuda por no aparecer en el ""sistema""... ya no da rabia, da risa cómo juegan con nosotros","@Elmer82332558 @CafamOficial A usted también le dijeron que no era beneficiario del tal subsidio? A mi me salieron con que yo no estuve afiliado... Estoy desde el 2014 con ellos y me negaron la ayuda por no aparecer en el ""sistema""... Ya no da rabia, da risa cómo juegan con nosotros",-0.10833333333333334,Negative,0.5333333333333333,Indifferent
1266227678169845760,Fri May 29 04:39:38 +0000 2020,2020-05-29,04,39,Friday,"no te conozco y perdona que me meta, a mi me dijeron que no habia sido aprobado que porque no aparecía como afiliado a la caja. estuve desde el 2014 hasta el 2018 y cumplía con los requisitos de ley para acceder y la respuesta fue, no aparece en el ""sistema""","@zuly_villamil @PGN_COL @ASOCAJAS @CafamOficial @CGR_Colombia @IvanDuque No te conozco y perdona que me meta, a mi me dijeron que no habia sido aprobado que porque no aparecía como afiliado a la caja. Estuve desde el 2014 hasta el 2018 y cumplía con los requisitos de ley para acceder y la respuesta fue, no aparece en el ""sistema""",0.0,Neutral,0.0,Objective
1266347132375760897,Fri May 29 12:34:18 +0000 2020,2020-05-29,12,34,Friday,será posible que sí solicito una cita médica su operador me pueda atender.,@EPS_Famisanar Será posible que sí solicito una cita médica su operador @CafamOficial me pueda atender.,0.0,Neutral,0.5,Indifferent
