id_str,screen_name
1266080518786945024,CafamOficial
1266080518786945024,Supersubsidio
1266092163852578818,MariMaria110
1266092163852578818,hujuliomendezb
1266092163852578818,infopresidencia
1266092163852578818,LaLibertadCo
1266092163852578818,NoticiasCaracol
1266092163852578818,CaracolRadio
1266092163852578818,WRadioColombia
1266092163852578818,IvanDuque
1266092163852578818,NoticiasUno
1266092163852578818,CafamOficial
1266092163852578818,MinSaludCol
1266128075361849344,EPS_Famisanar
1266128075361849344,CafamOficial
1266128075361849344,Colsubsidio_Ofi
1266128075361849344,autorizaciones
1266128075361849344,Supersalud
1266128075361849344,MinSaludCol
1266128075361849344,infopresidencia
1266128262046134272,EPS_Famisanar
1266128262046134272,CafamOficial
1266128262046134272,Colsubsidio_Ofi
1266128262046134272,autorizaciones
1266128262046134272,Supersalud
1266128262046134272,MinSaludCol
1266128262046134272,infopresidencia
1266129530785234945,infopresidencia
1266129530785234945,Supersalud
1266129530785234945,EPS_Famisanar
1266129530785234945,CafamOficial
1266129530785234945,Colsubsidio_Ofi
1266129530785234945,autorizaciones
1266129530785234945,Supersalud
1266129530785234945,MinSaludCol
1266159683582283782,CafamOficial
1266215167731343360,CafamOficial
1266215167731343360,MinSaludCol
1266226954107187200,Elmer82332558
1266226954107187200,CafamOficial
1266227678169845760,zuly_villamil
1266227678169845760,PGN_COL
1266227678169845760,ASOCAJAS
1266227678169845760,CafamOficial
1266227678169845760,CGR_Colombia
1266227678169845760,IvanDuque
1266347132375760897,EPS_Famisanar
1266347132375760897,CafamOficial
1266350055692349446,CafamOficial
1266350055692349446,EPS_Famisanar
1266350058145972226,CafamOficial
1266378408184832008,CafamOficial
1266386894549549058,MintrabajoCol
1266386894549549058,CafamOficial
1266386894549549058,IvanDuque
1266386894549549058,CGR_Colombia
1266386894549549058,ProsperidadCol
1266389034068312064,CafamOficial
1266389034068312064,MintrabajoCol
1266389034068312064,IvanDuque
1266389034068312064,CGR_Colombia
1266389034068312064,ProsperidadCol
1266389034068312064,Cafam
1266392493970595843,CafamOficial
1266392493970595843,Supersalud
1266392493970595843,NuevaEPSOficial
1266392493970595843,DirComNuevaEps
1266395473071529984,CafamOficial
1266395500833640449,jrincon80
1266395500833640449,CafamOficial
1266400100626173952,elespectador
1266400100626173952,IvanDuque
1266400100626173952,CafamOficial
1266402935434629126,Supersalud
1266402935434629126,CafamOficial
1266402935434629126,NuevaEPSOficial
1266402935434629126,DirComNuevaEps
1266404898331078658,Luzcortes11
1266404898331078658,CafamOficial
1266404898331078658,NuevaEPSOficial
1266404898331078658,DirComNuevaEps
1266410553116962816,CafamOficial
1266416267617075202,CafamOficial
1266416267617075202,JorgeIvanOspina
1266416267617075202,Supersalud
1266416267617075202,secsaludvalle
1266416267617075202,depacali
1266417110948950023,CafamOficial
1266418015823900674,Supersalud
1266418015823900674,depacali
1266418015823900674,CafamOficial
1266418849659879425,CafamOficial
1266422113684140032,IvanDuque
1266422113684140032,JorgeIvanOspina
1266422113684140032,ClaraLuzRoldan
1266422113684140032,MinSaludCol
1266422113684140032,CafamOficial
1266423533476950023,CafamOficial
1266424684817666048,CafamOficial
1266424684817666048,IvanDuque
1266424684817666048,JorgeIvanOspina
1266424684817666048,ClaraLuzRoldan
1266424684817666048,MinSaludCol
1266424948152827906,CafamOficial
1266424948152827906,IvanDuque
1266424948152827906,JorgeIvanOspina
1266424948152827906,ClaraLuzRoldan
1266424948152827906,MinSaludCol
1266426039405875202,CafamOficial
1266426039405875202,IvanDuque
1266426039405875202,JorgeIvanOspina
1266426039405875202,ClaraLuzRoldan
1266426039405875202,MinSaludCol
1266484201446084608,CafamOficial
1266557171078066177,soy1single
1266557171078066177,CafamOficial
1266578059131596800,CafamOficial
1266580685713784832,CafamOficial
1266580685713784832,Supersalud
1266580685713784832,SectorSalud
1266581793102352392,linabib30
1266581793102352392,CafamOficial
1266581793102352392,SectorSalud
1266714291916472324,CafamOficial
1266719950762323968,DirComNuevaEps
1266719950762323968,CafamOficial
1266738817559433219,ComfenalcoAnt
1266738817559433219,compensar
1266738817559433219,CafamOficial
1266767157800636418,CafamOficial
1266767157800636418,sammyfrequenze
1266767157800636418,zuly_villamil
1266767157800636418,PGN_COL
1266767157800636418,ASOCAJAS
1266767157800636418,CGR_Colombia
1266767157800636418,IvanDuque
1266787955655553024,ClaudiaLopez
1266787955655553024,IvanDuque
1266787955655553024,CafamOficial
1266787955655553024,DNP_Colombia
1266810086695096321,Jenramisu
1266810086695096321,CafamOficial
1266810086695096321,zuly_villamil
1266810086695096321,PGN_COL
1266810086695096321,ASOCAJAS
1266810086695096321,CGR_Colombia
1266810086695096321,IvanDuque
1266828072608772096,sammyfrequenze
1266828072608772096,CafamOficial
1266828072608772096,zuly_villamil
1266828072608772096,PGN_COL
1266828072608772096,ASOCAJAS
1266828072608772096,CGR_Colombia
1266828072608772096,IvanDuque
1266868606178033665,CafamOficial
1266891005074313219,Supersalud
1266891005074313219,EPS_Famisanar
1266891005074313219,CafamOficial
1266891005074313219,INSColombia
1266891005074313219,SectorSalud
1266891005074313219,Supersalud
1266891005074313219,EPS_Famisanar
1267048524111282177,CafamOficial
1267048524111282177,IvanDuque
1267048524111282177,Supersubsidio
1267048524111282177,ClaudiaLopez
1267048524111282177,GobiernoBTA
1267048524111282177,ArribaBogota
1267048524111282177,NoticiasRCN
1267048524111282177,JuanDiegoAlvira
1267048524111282177,NoticiasUno
1267048524111282177,RedMasNoticias
1267048524111282177,CafamOficial
1267048524111282177,ClaudiaLopez
1267048524111282177,IvanDuque
1267048524111282177,PGN_COL
1267048524111282177,Citytv
1267048524111282177,GobiernoBTA
1267113788584669185,DirComNuevaEps
1267113788584669185,CafamOficial
1267113788584669185,Supersalud
1267198342636998656,Elmer82332558
1267198342636998656,CafamOficial
1267198342636998656,IvanDuque
1267198342636998656,AlvaroUribeVel
1267198394600218627,Elmer82332558
1267198394600218627,CafamOficial
1267212074389815298,Elmer82332558
1267212074389815298,CafamOficial
1267212074389815298,IvanDuque
